section_id,title,line_start,one_line_scope,primary_product_module,phase_first_touched,linked_ac_ids,notes
6.1,6.1 Required experiences,637,"Required Forge experiences across TUI, desktop, web, IDE and headless/SDK clients with chats, checkpoints, modes and permission UX.",Forge,2,FORGE-HANDOFF-AC-02;VIDEO-AC-11;FORGE-AC-05;FORGE-AC-06;FORGE-AC-07;FORGE-AC-09;FORGE-AC-10;AGENT-HANDOFF-AC-01,
6.1.1,6.1.1 Complete software-engineering workstation,667,"Complete software-engineering workstation: capability catalogue, toolchain resolver and the full senior-engineer mission families.",Forge,2,COMMAND-WORKSTATION-AC-01;DEV-SERVER-AC-01;FORGE-AC-08;SWE-IDE-AC-01;GIT-SAFETY-AC-01;SWE-TEST-AC-01;SWE-QA-AC-01;SWE-API-AC-01;SWE-DATA-AC-01;SWE-INFRA-AC-01;SWE-CI-AC-01;SWE-OBS-AC-01;SWE-SEC-AC-01;SWE-RELEASE-AC-01;SWE-ONCALL-AC-01;SWE-E2E-AC-01,
6.1.2,6.1.2 MCP as a first-class Forge subsystem,697,"MCP as a first-class Forge subsystem with host/client, optional narrow server/SDK, registry, negotiation and conformance.",Forge,2,SUITE-AC-07;NEO-MCP-AC-02,
6.2,6.2 Context engine: exact retrieval before embeddings,710,"Context engine ordering exact text/symbol retrieval before embeddings, with a deterministic token-budgeted context packer.",Forge,2,FORGE-AC-01;FORGE-AC-03,
6.3,"6.3 Memory, graph, skills, and Obsidian vault",730,"Memory scopes, knowledge graph, skills registry and the Obsidian vault as the durable cited report surface.",Vault,2,MEMORY-AC-01;MEMORY-AC-02;ASSIST-AC-08;VAULT-AC-01;VAULT-AC-02;VAULT-AC-03;FORGE-AC-02,
6.4,6.4 Safe continual improvement,762,Safe continual improvement through a governed trace/outcome/adapter loop instead of silent fine-tuning after every task.,Forge,2,FINE-TUNE-AC-01,
6.5,6.5 Model and runtime strategy,795,Model and runtime strategy: benchmark current eligible open-weight models on real hardware rather than hardcoding a best model.,Forge,0A,PROVIDER-ETHICS-AC-01,
7,7. Product C — {{FAMILY}} Counsel,834,"Product C container: a separate but connected meeting interface inspired by lawful capabilities only, never covert or undetectable.",Counsel,5,COUNSEL-AC-01,
7.1,7.1 Before a meeting,850,"Before a meeting: detection, policy classification, jurisdiction/consent evaluation and logged consent method and version.",Counsel,5,COUNSEL-AC-04,
7.2,7.2 During a meeting,864,"During a meeting: channel separation, diarization, overlay behavior, low-latency cited suggestions and selected visual context.",Counsel,5,VOICE-AC-09;COUNSEL-AC-02;COUNSEL-AC-03;COUNSEL-AC-05;COUNSEL-AC-06;COUNSEL-AC-07,
7.3,7.3 After a meeting,892,"After a meeting: structured summary, decisions, actions, timestamp links and approval-queued drafts routed to the Assembler.",Counsel,5,NEO-MCP-AC-04;COUNSEL-AC-01;COUNSEL-AC-08;COUNSEL-AC-09;COUNSEL-AC-10,
7.4,7.4 Deferred visible participant-bot capture mode,914,"Deferred visible participant-bot capture mode to be evaluated, never assumed, never stealth and never auto-joining.",Counsel,5,,Explicitly deferred; no acceptance criterion in 15.1 targets it.
8,8. Shared deterministic security and approval architecture,918,"Shared deterministic security and approval architecture: policy gateway outside the model, action tiers T0-T4, adapter re-enforcement.",Shared,1,SUITE-AC-06;SUITE-AC-08;COMMAND-AC-08;APPROVAL-BINDING-AC-01;OUTBOX-AC-01;DESTRUCTIVE-AC-01;COUNSEL-AC-10,
9,9. Data architecture and privacy zones,962,"Data architecture and privacy zones defining personal local, company local/authorized and other explicit zones.",Shared,1,SUITE-AC-11;SAN-AC-13;ASSIST-AC-04;VIDEO-AC-13;COUNSEL-AC-05,
9.1,"9.1 Context Sanitization Gateway — preserve useful context, remove sensitive context",979,"Context Sanitization Gateway: one versioned deterministic gateway with registered sinks, purpose-bound views and lineage.",Shared,1,SAN-AC-01;SAN-AC-02;SAN-AC-03;SAN-AC-04;SAN-AC-05;SAN-AC-06;SAN-AC-07;SAN-AC-08;SAN-AC-09;SAN-AC-10;SAN-AC-11;SAN-AC-12;SAN-AC-13,
10,10. Technology decision rules,1016,"Technology decision rules requiring a justified job, alternatives, license and cost for every dependency or service.",Platform,0A,SUITE-AC-09;PROVIDER-ETHICS-AC-01,
10.1,"10.1 Capability, availability, and graceful degradation",1057,"Capability, availability and graceful degradation: the Capability Broker and Degradation Contract with truthful result states.",Shared,1,SUITE-AC-12;CAP-AC-01;CAP-AC-02;CAP-AC-03;CAP-AC-04;WORK-AC-04;NEO-MCP-AC-03,
11,11. Modern 3D Liquid Glass design system for every interface,1093,"Modern 3D Liquid Glass design system shared by every interface, dark-first, original, accessible and performance-bounded.",Glass,0B,COMMAND-AC-10;VIDEO-AC-05;VIDEO-AC-07;VIDEO-AC-08;VIDEO-AC-12;VIDEO-AC-15;DESIGN-WINDOWS-AC-01;DESIGN-MAC-AC-01;DESIGN-MAC-AC-02;DESIGN-MATERIAL-AC-01;DESIGN-XPLAT-AC-01,
11.1,11.1 Real-time presence and perceived performance,1150,"Real-time presence and perceived performance, the Interaction Latency Budget and the ban on fake progress or literal zero-latency claims.",Glass,0B,LINK-AC-03;REALTIME-SLO-AC-01;PRESENCE-CONTROL-AC-01;VIDEO-AC-10;DESIGN-PERF-AC-01,
11.2,11.2 Required clean-room synthesis blueprint,1180,"Required clean-room synthesis blueprint: latest-owner precedence, transformation not reproduction, originality review.",Glass,0B,VIDEO-AC-03;VIDEO-AC-04;DESIGN-SYNTHESIS-AC-01;DESIGN-SYNTHESIS-AC-03;CEREMONY-AC-01,
11.3,11.3 Independent design research and Claude Design/Artifact deliverables,1211,Independent design research and the Claude Design/Artifact deliverables that must carry the design decision.,Glass,0B,ARTIFACT-DOC-AC-01;DESIGN-SYNTHESIS-AC-02;DESIGN-GATE-AC-01;ARTIFACT-FEASIBILITY-AC-01,
11.3.1,11.3.1 User-supplied motion references and frame-accounted video analysis,1219,"User-supplied motion references and frame-accounted video analysis, treated as leads rather than verified evidence.",Platform,0A,VIDEO-AC-01;VIDEO-AC-02;VIDEO-AC-13;VIDEO-AC-14;VIDEO-AC-16,
11.3.2,11.3.2 Verified uploaded compilation — 23 August 2026,1239,Verified uploaded compilation of 23 August 2026 with its semantic range index and the exact 0-9529 frame accounting requirement.,Platform,0A,VIDEO-AC-02;DESIGN-EVIDENCE-AC-01,
11.3.3,11.3.3 Verified uploaded compilation — 24 August 2026,1394,"Verified uploaded compilation of 24 August 2026 with its ranges, the 0-8064 frame requirement and derived design research directives.",Platform,0A,VIDEO-AC-02;VIDEO-AC-09;DESIGN-EVIDENCE-AC-01,
12,12. Research and reuse baseline to revalidate,1511,"Research and reuse baseline to revalidate, with a reproducible discovery protocol rather than blind trust in the seed list.",Platform,0A,SUITE-AC-10;RESEARCH-AC-01;RESEARCH-AC-02,
12.a,Mandatory fan-out/fan-in web research,1519,"Mandatory fan-out/fan-in web research with independent parallel workers, non-identical queries and explicit scopes.",Platform,0A,RESEARCH-AC-02,Unnumbered #### heading; id derived as 12.a.
12.b,Mandatory Jarvis/Ultron GitHub census,1531,Mandatory dated Jarvis/Ultron GitHub census using supported Search API/GraphQL with reproducible pagination.,Platform,0A,RESEARCH-GITHUB-AC-01,Unnumbered #### heading; id derived as 12.b.
12.c,Coding and agent runtimes,1537,Seed list of coding and agent runtimes to research and verify rather than assume parity with.,Forge,0A,RESEARCH-AC-01,Unnumbered #### heading; id derived as 12.c.
12.d,"Assistant, voice, automation, and context",1553,"Seed list of assistant, voice, automation and context references to research, including known current defects.",Assistant,0A,RESEARCH-AC-01,Unnumbered #### heading; id derived as 12.d.
12.e,Meeting and dictation,1574,"Seed list of meeting and dictation references to audit for capture, notes, transcription and provider choice patterns.",Counsel,0A,RESEARCH-AC-01,Unnumbered #### heading; id derived as 12.e.
13,13. Required architecture shape,1587,"Required architecture shape hypothesis: signed per-host device brokers behind one shared contract, to confirm or replace via ADRs.",Shared,0B,SUITE-AC-03,
14,14. Phase plan and stop gates,1606,Phase plan and stop gates container; the gates and phases live in the subsections below.,Platform,0A,,Container heading with no body text of its own.
14.a,Clarification Gate — questions before Phase 0 commitment,1608,Clarification Gate: smallest authorized inventory plus one consolidated question set before any Phase 0 commitment.,Platform,0A,,Unnumbered #### heading; id derived as 14.a.
14.b,Phase 0 — discovery and design only,1612,"Phase 0 discovery and design only, split into Phase 0A items 1-6 with the Brand sub-gate and Phase 0B items 7-16, then Gate 1 and Gate 2.",Platform,0A,SUITE-AC-01;ARTIFACT-DOC-AC-01;BRAND-AC-01,"Unnumbered #### heading; id derived as 14.b. Also carries the Brand Gate, Gate 1 and Gate 2 definitions."
14.c,Phase 1 — secure Windows pilot foundation and read-only assistant,1659,"Phase 1 secure Windows pilot foundation and read-only assistant, repository creation, monorepo skeleton and voice vertical slice.",Platform,1,REPO-BOOTSTRAP-AC-01,Unnumbered #### heading; id derived as 14.c.
14.d,Phase 2 — {{FAMILY}} Forge MVP,1669,"Phase 2 Forge MVP on the Windows pilot against fixture repositories, including MCP host/client and supervised executor.",Forge,2,,Unnumbered #### heading; id derived as 14.d.
14.e,Phase 3 — scoped work context and event drafts,1684,"Phase 3 scoped work context and event drafts: real integrations, classifier, Review Companion, outbox, triage and drafts only.",Shared,3,,Unnumbered #### heading; id derived as 14.e.
14.f,Phase 4 — safe Windows OS/browser execution and multi-agent work,1691,Phase 4 safe Windows OS/browser execution and multi-agent work with conformance-tested catalogue promotion.,Assistant,4,,Unnumbered #### heading; id derived as 14.f.
14.g,Phase 5 — {{FAMILY}} Counsel,1699,"Phase 5 Counsel validated first on Windows with synthetic or consented meetings, then the Gate 3 Windows Pilot Gate.",Counsel,5,,Unnumbered #### heading; id derived as 14.g. Also carries the Gate 3 definition.
14.h,"Phase 6 — approved work-Mac promotion, then cross-device, mobile, home, and phone",1705,"Phase 6 approved work-Mac promotion, then cross-device, mobile, home and phone with E2EE pairing and single-responder arbitration.",Link,6,MAC-NATIVE-AC-01,Unnumbered #### heading; id derived as 14.h.
14.i,"Phase 7 — prepare-only travel and commerce, then controlled commit",1712,"Phase 7 prepare-only travel and commerce, with T3 transaction commit enabled only after separate written approval.",Assistant,7,,Unnumbered #### heading; id derived as 14.i.
14.j,Phase 8 — hardening and release,1718,"Phase 8 hardening and release: performance, security, red-team, signed releases, ecosystem watch and wake-word testing.",Platform,8,,Unnumbered #### heading; id derived as 14.j.
15,15. Definition of done for every vertical slice,1725,"Definition of done for every vertical slice: requirement IDs, ADRs, tests, evidence and no silent weakening.",Platform,0B,LLD-GATE-AC-01;FORGE-AC-05,
15.1,15.1 End-to-end acceptance matrix,1749,End-to-end acceptance matrix intro plus the requirement to build the Requirements Traceability Matrix itself.,Platform,0A,SUITE-AC-01,
15.1.a,Shared suite,1755,Shared suite acceptance criteria table (54 IDs).,Shared,0A,SUITE-AC-01;SUITE-AC-02;SUITE-AC-03;SUITE-AC-04;SUITE-AC-05;SUITE-AC-06;SUITE-AC-07;SUITE-AC-08;SUITE-AC-09;SUITE-AC-10;SUITE-AC-11;SUITE-AC-12;SUITE-AC-13;SUITE-AC-14;WIN-FIRST-AC-01;WIN-FIRST-AC-02;WORK-MAC-GATE-AC-01;MAC-NATIVE-AC-01;LLD-GATE-AC-01;XDEVICE-PRODUCT-AC-01;LINK-AC-01;LINK-AC-02;LINK-AC-03;LINK-AC-04;CAP-AC-01;CAP-AC-02;CAP-AC-03;CAP-AC-04;PROVIDER-ETHICS-AC-01;CAP-CATALOG-AC-01;MAC-COVERAGE-AC-01;MEMORY-AC-01;MEMORY-AC-02;MEMORY-AC-03;MEMORY-AC-04;SAN-AC-01;SAN-AC-02;SAN-AC-03;SAN-AC-04;SAN-AC-05;SAN-AC-06;SAN-AC-07;SAN-AC-08;SAN-AC-09;SAN-AC-10;SAN-AC-11;SAN-AC-12;SAN-AC-13;RESEARCH-AC-01;RESEARCH-AC-02;ARTIFACT-DOC-AC-01;BRAND-AC-01;RESEARCH-GITHUB-AC-01;REPO-BOOTSTRAP-AC-01,Unnumbered ##### table heading; id derived as 15.1.a.
15.1.b,Personal assistant and Command,1814,Personal assistant and Command acceptance criteria table (13 IDs).,Command,1,COMMAND-AC-01;COMMAND-AC-02;COMMAND-AC-03;COMMAND-AC-04;COMMAND-AC-05;COMMAND-AC-06;COMMAND-AC-07;COMMAND-AC-08;COMMAND-AC-09;COMMAND-AC-10;REVIEW-COMPANION-AC-01;REVIEW-COMPANION-AC-02;COMMAND-WORKSTATION-AC-01,Unnumbered ##### table heading; id derived as 15.1.b.
15.1.c,"Assistant execution, communications, phone, commerce, and Vault",1832,"Assistant execution, communications, phone, commerce and Vault acceptance criteria table (38 IDs).",Assistant,1,ASSIST-AC-01;ASSIST-AC-02;ASSIST-AC-03;ASSIST-AC-04;ASSIST-AC-05;COMM-CLASSIFY-AC-01;COMM-DRAFT-AC-01;APPROVAL-BINDING-AC-01;OUTBOX-AC-01;ASSIST-AC-06;ASSIST-AC-07;ASSIST-AC-08;VAULT-AC-01;VAULT-AC-02;VAULT-AC-03;ASSIST-AC-09;PERSONAL-UTILITY-AC-01;MAC-TARGET-AC-01;MAC-TARGET-AC-02;JIRA-CREATE-AC-01;NATURAL-COMMAND-AC-01;REALTIME-SLO-AC-01;PRESENCE-CONTROL-AC-01;MAC-FILES-AC-01;MAC-WEB-AC-01;MAC-CONTENT-AC-01;MAC-SYSTEM-AC-01;MAC-AUTOMATION-AC-01;MAC-A11Y-AC-01;MAC-RECOVERY-AC-01;TERMINAL-AC-01;TERMINAL-AC-02;TERMINAL-AC-03;DEV-SERVER-AC-01;TERMINAL-AC-04;TERMINAL-AC-05;DESTRUCTIVE-AC-01;REPRO-AC-01,Unnumbered ##### table heading; id derived as 15.1.c.
15.1.d,"QuillBot work intake, NeoSapien MCP, and Forge handoff",1875,"QuillBot work intake, NeoSapien MCP and Forge handoff acceptance criteria table (14 IDs).",Shared,3,WORK-AC-01;WORK-AC-02;WORK-AC-03;TASK-CANDIDATE-AC-01;TASK-CANDIDATE-AC-02;TASK-CANDIDATE-AC-03;WORK-AC-04;WORK-AC-05;NEO-MCP-AC-01;NEO-MCP-AC-02;NEO-MCP-AC-03;NEO-MCP-AC-04;FORGE-HANDOFF-AC-01;FORGE-HANDOFF-AC-02,Unnumbered ##### table heading; id derived as 15.1.d.
15.1.e,"Voice identity, adaptation, and video-design evidence",1894,"Voice identity, adaptation and video-design evidence acceptance criteria table (28 IDs).",Assistant,0A,VOICE-AC-01;VOICE-AC-02;VOICE-AC-03;VOICE-AC-04;VOICE-AC-05;VOICE-AC-06;VOICE-AC-07;VOICE-AC-08;VOICE-AC-09;VOICE-AC-10;VOICE-AC-11;VOICE-AC-12;VIDEO-AC-01;VIDEO-AC-02;VIDEO-AC-03;VIDEO-AC-04;VIDEO-AC-05;VIDEO-AC-06;VIDEO-AC-07;VIDEO-AC-08;VIDEO-AC-09;VIDEO-AC-10;VIDEO-AC-11;VIDEO-AC-12;VIDEO-AC-13;VIDEO-AC-14;VIDEO-AC-15;VIDEO-AC-16,Unnumbered ##### table heading; id derived as 15.1.e.
15.1.f,"Design synthesis, macOS, and Artifact gate",1927,"Design synthesis, macOS and Artifact gate acceptance criteria table (14 IDs).",Glass,0B,DESIGN-EVIDENCE-AC-01;DESIGN-SYNTHESIS-AC-01;DESIGN-SYNTHESIS-AC-02;DESIGN-SYNTHESIS-AC-03;DESIGN-WINDOWS-AC-01;DESIGN-MAC-AC-01;DESIGN-MAC-AC-02;DESIGN-MATERIAL-AC-01;DESIGN-XPLAT-AC-01;DESIGN-PERF-AC-01;DESIGN-GATE-AC-01;ARTIFACT-FEASIBILITY-AC-01;BRAIN-AC-01;CEREMONY-AC-01,Unnumbered ##### table heading; id derived as 15.1.f.
15.1.g,Forge coding product,1946,Forge coding product acceptance criteria table (25 IDs).,Forge,2,FORGE-AC-01;FORGE-AC-02;FORGE-AC-03;FORGE-AC-04;FORGE-AC-05;FORGE-AC-06;FORGE-AC-07;FORGE-AC-08;FORGE-AC-09;FORGE-AC-10;FINE-TUNE-AC-01;AGENT-HANDOFF-AC-01;SWE-IDE-AC-01;GIT-SAFETY-AC-01;SWE-TEST-AC-01;SWE-QA-AC-01;SWE-API-AC-01;SWE-DATA-AC-01;SWE-INFRA-AC-01;SWE-CI-AC-01;SWE-OBS-AC-01;SWE-SEC-AC-01;SWE-RELEASE-AC-01;SWE-ONCALL-AC-01;SWE-E2E-AC-01,Unnumbered ##### table heading; id derived as 15.1.g.
15.1.h,Counsel meeting product,1976,Counsel meeting product acceptance criteria table (10 IDs).,Counsel,5,COUNSEL-AC-01;COUNSEL-AC-02;COUNSEL-AC-03;COUNSEL-AC-04;COUNSEL-AC-05;COUNSEL-AC-06;COUNSEL-AC-07;COUNSEL-AC-08;COUNSEL-AC-09;COUNSEL-AC-10,Unnumbered ##### table heading; id derived as 15.1.h.
16,16. Required output sequence,1991,Required output sequence container for the first response and the post-answer Phase 0A/0B packets.,Platform,0A,,Container heading with no body text of its own.
16.1,16.1 First response — Clarification Gate only,1993,"First response is the Clarification Gate only, starting with the master-prompt integrity receipt.",Platform,0A,SUITE-AC-14,
16.2,"16.2 After I answer — Phase 0A research, Brand sub-gate, then Phase 0B design",2007,"After the answer: Phase 0A research packet, Brand sub-gate, then the Phase 0B design packet.",Platform,0A,,
