ac_id,group,criterion_summary,required_evidence_summary,product_module,earliest_phase,gate_dependency,status
COMMAND-AC-04,Personal assistant and Command,"Device Fleet shows every paired Mac, phone, browser, CLI and voice satellite with trust, capabilities, current task, privacy state, version, battery and handoff/pause/revoke/wipe controls.","Pair, capability negotiation, handoff, stale/disconnect, compromise/revoke and exactly-one-executor tests.",Command,6,None,not-started
COMMAND-AC-05,Personal assistant and Command,"Attention Center deduplicates and explains Slack, email, GitHub/GitLab, Jira, Figma, calendar, CI, meeting, device, security and agent events with source age, why-now, consequence and action.",Duplicate/out-of-order event tests and approve/deny/edit/snooze/dismiss/receipt flows.,Command,3,None,not-started
COMMAND-AC-06,Personal assistant and Command,"Global launcher/search finds authorized apps, commands, people, files, chats, meetings, code, tasks, skills, MCP tools, devices, notes and artifacts without crossing project or privacy boundaries.","Recall/citation, access-denial, staleness, deletion and cross-project-leakage evaluations.",Command,1,None,not-started
COMMAND-AC-07,Personal assistant and Command,"All supported customization is reachable through Command: layout, Theme Studio, glass/motion/accessibility, wake, devices, privacy/memory, models, skills/MCP, budgets and retention.","Versioned schema, validation, live preview/diff, per-device/product override, profiles, import/export, migration, reset and rollback.",Command,1,None,not-started
COMMAND-AC-08,Personal assistant and Command,"A policy/capability simulator explains whether an agent can read or act through a specific device, account or MCP and previews workflows with zero side effects.","Effective-permission explanation matching production policy and dry-run proof of no writes, sends, purchases, deploys or mutations.",Command,1,None,not-started
COMMAND-AC-09,Personal assistant and Command,"Workflow Debugger exposes checkpoints, retries, redacted I/O, external effects, failure and recovery, including retry from a safe step and exact restore/compensation limits.",Fault-injected workflow recovered from a checkpoint with irreversible external effects clearly identified.,Command,2,None,not-started
COMMAND-AC-10,Personal assistant and Command,"All graphical surfaces use the approved original dark-first 3D Liquid Glass family with Dark default plus System, Light, High Contrast, Reduced Transparency and Reduced Motion behavior.","Token/visual-regression audit, keyboard/screen-reader/200% zoom/contrast tests and representative 60/120 Hz frame-time evidence.",Glass,1,Gate2,not-started
REVIEW-COMPANION-AC-01,Personal assistant and Command,"The same canonical draft version appears in the Mac Approval Capsule, Command Approval Center and paired phone with full payload and the Section 5.4.3 controls; one executor prevents duplicates.","Interactive Artifact plus focus/IME, version reconciliation, concurrent-device approval, crash/reconnect and keyboard/VoiceOver tests.",Command,3,None,not-started
REVIEW-COMPANION-AC-02,Personal assistant and Command,"On an unlocked owner-private Mac a notification may show the full sanitized reply where policy permits; locked, screen-share and untrusted states mask it and cannot approve or execute.","Full-draft unlocked/private notification plus lock/unlock/external-display/screen-share/APNs payload, generic-preview, deep-link spoof, Reduced Motion and accessibility tests.",Command,3,None,not-started
COMMAND-WORKSTATION-AC-01,Personal assistant and Command,"Workstation Control Center reconciles repositories, IDE buffers, terminal panes, processes/ports, build/test/QA runs, containers, Git/CI and cloud targets with runtime truth and the execution stream.","Interactive Artifact plus live fixture with concurrent process, port collision, dirty buffer, failed test, container, browser trace, stale cloud context, crash/reconnect and reconciliation.",Command,2,None,not-started
ASSIST-AC-01,"Assistant execution, communications, phone, commerce, and Vault","On an OS-authenticated Windows pilot machine, and later independently on the Mac, the wake phrase, push-to-talk or double clap opens the assistant, runs real health checks and briefs with citations.","Per-platform cold/warm start, phrase, locked/unlocked, no-network, failed-source, false-clap, skip, mute and reduced-motion tests; Windows evidence cannot satisfy Mac.",Assistant,1,None,not-started
ASSIST-AC-02,"Assistant execution, communications, phone, commerce, and Vault","System-wide dictation writes approved voice input into the authorized application with streaming text, formatting commands, correction/undo and visible listening state; secure fields are denied.","Native and browser text-editor matrix; focus-change/race, secure-field, clipboard-disabled, offline, correction, cancellation and multilingual/accent tests with no unintended keystrokes.",Assistant,1,None,not-started
ASSIST-AC-03,"Assistant execution, communications, phone, commerce, and Vault","Voice can find, open, focus, navigate and click supported apps and sites via app API, DOM/Playwright, accessibility then governed vision, showing target and risk and verifying fresh state.","Per-platform cross-app/browser benchmark with duplicate labels, moved elements, modal, iframe, stale screenshot, injected webpage instruction, CAPTCHA, denial, takeover and postcondition evidence.",Assistant,1,None,not-started
ASSIST-AC-04,"Assistant execution, communications, phone, commerce, and Vault",Activity awareness uses only disclosed allowlisted sources and shows which app or event produced each inference; sensitive apps are masked and a screen can inform a draft but not issue a command.,"Source-chip/provenance demo; allowlist/exclusion, screen-lock, secure-field, notification leak, prompt-injection, pause and deletion tests.",Assistant,1,None,not-started
ASSIST-AC-05,"Assistant execution, communications, phone, commerce, and Vault","Slack, email, GitHub/GitLab, Jira, Figma, calendar and CI events are consumed idempotently and may produce triage and local drafts, but no provider-visible effect occurs without approval.",Duplicate/delayed/out-of-order/edit/delete events; reply-all/reaction/read/typing; wrong account or recipient; changed draft; injection; deny/edit/approve; concurrent devices; provider receipts.,Assistant,3,None,not-started
COMM-CLASSIFY-AC-01,"Assistant execution, communications, phone, commerce, and Vault",Every inbound Slack/email/comment event is authenticated and visibly classified into one advisory class with evidence and confidence; classification never grants authority or becomes scope.,"Adversarial ordinary/question/task/update/incident/spam/ambiguous/edited/duplicate fixtures, user correction, Jira-key handling, prompt-injection and false-positive/negative evaluation.",Assistant,3,None,not-started
COMM-DRAFT-AC-01,"Assistant execution, communications, phone, commerce, and Vault","No provider-visible effect occurs directly from an inbound event or agent output; every outward effect follows prepare, exact preview, bound approval, revalidation and one commit attempt.","Slack/email/GitHub/GitLab/Jira/Figma/calendar/CI positive, deny, edit, expire, outcome-unknown and provider-audit tests proving zero preapproval writes or blind retries.",Assistant,3,None,not-started
APPROVAL-BINDING-AC-01,"Assistant execution, communications, phone, commerce, and Vault","A single-use short-lived approval binds capability version, account, device, executor, destination, rendered body, attachments, visibility, side effects and payload hash; mutation invalidates it.","Field-mutation matrix, distribution-list expansion, account/thread/source edit, attachment replacement, expiry/replay and wrong-device denial.",Shared,1,None,not-started
OUTBOX-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Every T2/T3 external commit uses a durable action ID/outbox and provider idempotency; timeout, crash or reconnect reconciles before retry and unknown outcome never auto-retries.","Provider-accepted-response-lost, timeout before/after commit, duplicate click, concurrent devices, crash, provider-without-idempotency and receipt-reconciliation tests.",Shared,1,None,not-started
ASSIST-AC-06,"Assistant execution, communications, phone, commerce, and Vault","Calling the assistant through the approved WebRTC/SIP endpoint supports a spoken briefing and T0 requests, then hands any T2/T3 action to the paired trusted device; voice never authorizes it.","Valid/unknown/spoofed caller, lost phone, reconnect, cross-device handoff, expired approval, exactly-one-executor and paired-device biometric tests.",Assistant,6,None,not-started
ASSIST-AC-07,"Assistant execution, communications, phone, commerce, and Vault","Travel, flights, groceries and purchases may be prepared automatically, but commit needs an exact preview, revalidated price and inventory, a hash-bound approval and fresh device biometric.","Sandbox merchant/booking journeys covering price/availability/substitution/payee change, timeout, retry, double click, network loss, 3-D Secure, CAPTCHA, cancellation/refund and redacted receipt.",Assistant,7,None,not-started
ASSIST-AC-08,"Assistant execution, communications, phone, commerce, and Vault","Every policy-required report lands as versioned Markdown in the authorized Obsidian Vault with stable ID, citations, backlinks, metadata, ACL and supersession links; deletion cascades.","Markdown/schema/link validation, Obsidian graph traversal, provenance drill-down, conflicting/superseded note, export/import, revocation and deletion-cascade/backup-expiry tests.",Vault,2,None,not-started
VAULT-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Every sync-eligible note, report and attachment synchronizes E2EE only to its authorized device group while personal and company roots, ACLs, retention and local-only sources stay isolated.","Pair/revoke/key-rotation, offline/reconnect, wrong-zone, lost-device, large-attachment, partial-transfer, relay-inspection and deletion-cascade tests.",Vault,6,None,not-started
VAULT-AC-02,"Assistant execution, communications, phone, commerce, and Vault","Concurrent Markdown edit, rename, delete, attachment, frontmatter and backlink conflicts preserve both versions and resolve deterministically or by review; silent last-write-wins is impossible.","Two- and three-device conflict corpus, case/Unicode paths, external-editor watcher, crash recovery, tombstone replay, graph/index rebuild and byte-preservation evidence.",Vault,6,None,not-started
VAULT-AC-03,"Assistant execution, communications, phone, commerce, and Vault","A polished accessible Vault workspace exists in Command and as scoped views in Assistant, Forge and Counsel across desktop, tablet, phone and web with search, backlinks, history and sync.","Cross-product interactive Artifacts, responsive/native navigation, keyboard/touch/VoiceOver/TalkBack, 200% zoom, large-vault performance, offline and degraded-sync tests.",Vault,6,None,not-started
ASSIST-AC-09,"Assistant execution, communications, phone, commerce, and Vault","The spoken find-ticket-and-build path and the automatic Jira trigger converge on one Intake that resolves exact targets, loads skills, passes Context Readiness and shows the sealed pack and diff.","Ambiguous/stale/duplicate ticket, wrong repository, missing skill, readiness invalidation, DST boundary, meeting-added-symbol, byte-identical outside-TASK and handoff-hash tests.",Assistant,2,None,not-started
PERSONAL-UTILITY-AC-01,"Assistant execution, communications, phone, commerce, and Vault","Voice/chat manages exact-device timers, alarms and reminders, performs deterministic calculations and conversions, retrieves weather/traffic with freshness and controls the exact media app or device.","Offline/local calculation corpus; time-zone/DST, ambiguous-location/device, stale-weather/rate, timer persistence, media-target, accessibility, account and external-effect tests.",Assistant,1,None,not-started
MAC-TARGET-AC-01,"Assistant execution, communications, phone, commerce, and Vault","A natural command resolves the exact device, signed application, window/Space, browser profile, tab, provider account and tool before acting; ambiguity produces clarification, not a wrong surface.","Installed-app registry plus Chrome/Safari/Firefox profile and account fixtures covering aliases, duplicate names, multiple channels, stale tabs, deictic references, correction and negation.",Assistant,6,WorkMac,not-started
MAC-TARGET-AC-02,"Assistant execution, communications, phone, commerce, and Vault",The assistant discovers installed apps but auto-opens only approved signed handlers with conformance-tested safe classes; custom schemes and macro-capable content need preview or takeover.,"NSWorkspace/Launch Services inventory, signed-handler/file-type/deep-link classification, App Intent/API/DOM/AX/vision ladder, startup-side-effect, takeover and protected-surface denial tests.",Assistant,6,WorkMac,not-started
JIRA-CREATE-AC-01,"Assistant execution, communications, phone, commerce, and Vault","A ticket request produces a local Jira draft with exact site, account, project, type and fields, previews the full payload, takes a hash-bound approval, creates once and verifies the key.","Wrong-site/project/account, required-field, duplicate/idempotency, changed-payload, offline/reauth, UI-fallback, injection, cancel and successful sandbox-creation tests.",Assistant,3,None,not-started
NATURAL-COMMAND-AC-01,"Assistant execution, communications, phone, commerce, and Vault","The selected address name supports natural single and compound commands, ellipsis, deictic grounding, correction, negation and undo; speech not directed at the assistant cannot execute.","Indian-English/noisy-room dialogue suite with compound commands, interruption, target changes, undo limits, human-conversation and meeting false-trigger tests.",Assistant,1,Brand,not-started
REALTIME-SLO-AC-01,"Assistant execution, communications, phone, commerce, and Vault","The suite meets the approved Interaction Latency Budget across acknowledgement, wake, ASR, barge/stop, first output, app focus and search, reporting p50/p95/p99 and degraded slices.","End-to-end monotonic traces and error budgets first on the Windows pilot baseline, then independently on the Apple-Silicon baseline, under eviction, concurrency, thermal and network pressure.",Shared,1,None,not-started
