seed_id,canonical_url,category,prompt_section_guess,assigned_lane,status,evidence_file,evidence_note,reason_if_not_researched,blocks_gate
S016,https://cursor.com/docs/cli/overview.md,vendor-docs,"Design, performance, privacy, and legal references",L4,partially-researched,research/L4-design-research.md,L4 read cursor.com/docs/cli/using and verified CLI approve/reject (y/n) and Ctrl+R review; the /cli/overview.md seed path itself was not fetched.,"L4 substituted the sibling /docs/cli/using page; the overview page was never fetched, so any CLI facts unique to it are unverified.",none
S017,https://developer.apple.com/design/human-interface-guidelines/,apple-hig,Apple platform and Liquid Glass (+3 more mentions),L4,researched,research/L4-design-research.md,L4 read the HIG index JSON plus 10 HIG pages via Apple's own /tutorials/data/ endpoints (method correction X-12).,,none
S018,https://developer.apple.com/design/human-interface-guidelines/designing-for-macos,apple-hig,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4's HIG page set was notifications, panels, motion, accessibility, dark-mode, windows, the-menu-bar, live-activities, status-bars, app-icons.","macOS is the eventual reference target, not the Windows pilot; L4 prioritised Windows-first material research (correction X-3).",none
S019,https://developer.apple.com/design/human-interface-guidelines/notifications,apple-hig,Apple platform and Liquid Glass,L4,researched,research/L4-design-research.md,L4 A8 verified: 'Use an alert - not a notification - to display an error message'; sound is supplementary and must not carry information alone.,,none
S020,https://developer.apple.com/design/human-interface-guidelines/panels,apple-hig,Apple platform and Liquid Glass,L4,researched,research/L4-design-research.md,"L4 A6 verified the HUD-panel contract - macOS-only, darker/translucent, few controls, keep small, 'use color sparingly'. Adopted as the P3 design contract.",,none
S021,https://developer.apple.com/documentation/appintents,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane read App Intents. L4 covered macOS design surfaces only; L1 covered automation via MCP/AppleScript-shaped seams instead.,macOS-native automation deferred behind the Windows pilot; no lane owned the Apple API-doc family.,none
S022,https://developer.apple.com/documentation/appkit/nspopover,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not read. Related finding only: L4 A7 records the HIG rule 'Display a menu - not a popover - when people click your menu bar extra'.,Apple API docs were out of L4's design-evidence scope; macOS-native build is deferred behind the Windows pilot.,none
S023,https://developer.apple.com/documentation/appkit/nsstatusitem,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4 A7 covered the menu-bar-extra design constraints (24 pt height, system may hide it) from the HIG instead of the AppKit API.",Apple API docs out of scope for L4; macOS-native build deferred behind the Windows pilot.,none
S024,https://developer.apple.com/documentation/appkit/nsworkspace/openapplication%28at%3Aconfiguration%3Acompletionhandler%3A%29,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane read this AppKit/Foundation API doc.,No lane owned the Apple API-doc family; macOS-native implementation is deferred behind the Windows pilot.,none
S025,https://developer.apple.com/documentation/applicationservices/1459374-axuielementcreateapplication,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"No lane read the Accessibility (AXUIElement) API docs, which are the macOS app-control substrate the prompt names 5 times.",macOS app-control path deferred behind the Windows pilot; no lane owned the Apple API-doc family. Re-open before any macOS control ADR.,none
S026,https://developer.apple.com/documentation/applicationservices/axuielement,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"No lane read the Accessibility (AXUIElement) API docs, which are the macOS app-control substrate the prompt names 5 times.",macOS app-control path deferred behind the Windows pilot; no lane owned the Apple API-doc family. Re-open before any macOS control ADR.,none
S027,https://developer.apple.com/documentation/coreaudio/capturing-system-audio-with-core-audio-taps,apple-docs,Apple platform and Liquid Glass,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not read. L3 covered macOS system-audio capture only indirectly - Loqui via ScreenCaptureKit and Devleed via a BlackHole multi-output device.,Core Audio taps (the macOS 14.2+ first-party route) were never evaluated; L3's capture evidence is third-party implementations only.,none
S028,https://developer.apple.com/documentation/foundation/nsfilecoordinator,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane read this AppKit/Foundation API doc.,No lane owned the Apple API-doc family; macOS-native implementation is deferred behind the Windows pilot.,none
S029,https://developer.apple.com/documentation/localauthentication/lacontext,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane read LAContext. The prompt's 'unlock' ceremony has no verified local-authentication primitive behind it.,No lane owned the Apple API-doc family; the unlock/authentication design is deferred to the macOS track.,none
S030,https://developer.apple.com/documentation/screencapturekit,apple-docs,Apple platform and Liquid Glass (+1 more mentions),L3,partially-researched,research/L3-meetings-voiceid.md; research/L4-design-research.md,SCK behaviour cited from third parties: L3 s2.7 (Loqui dual-stream) and L3 s3.1 note 2 ('a capture path that composites all windows (ScreenCaptureKit-era)').,Apple's own ScreenCaptureKit documentation was never fetched; every SCK claim in the corpus is second-hand from OSS READMEs.,none
S031,https://developer.apple.com/documentation/screencapturekit/capturing-screen-content-in-macos,apple-docs,Apple platform and Liquid Glass,L3,partially-researched,research/L3-meetings-voiceid.md,"Same as the ScreenCaptureKit parent: capture behaviour is evidenced only from Loqui's and cue's READMEs, not from Apple's guide.",Apple's capture guide not fetched; only third-party accounts of SCK behaviour exist in the corpus.,none
S032,https://developer.apple.com/documentation/security/keychain-services,apple-docs,Apple platform and Liquid Glass,(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"No lane read Keychain Services, despite 'Keychain' appearing 19 times in the prompt body as the secrets store.",No lane owned the Apple API-doc family; secrets-storage design deferred to the macOS/Windows credential ADR.,none
S033,https://developer.apple.com/documentation/speech/bringing-advanced-speech-to-text-capabilities-to-your-app,apple-docs,Apple platform and Liquid Glass,L1,intentionally-deferred,research/L1-assistants-voice.md,"Not read. L1 s4 surveyed local STT (Parakeet TDT, Canary-Qwen, Moonshine, Whisper large-v3-turbo) but never evaluated Apple's SpeechAnalyzer.",Apple's first-party on-device STT (new in macOS 26) is an unevaluated alternative to the whisper.cpp/Argmax path L1 recommends. Windows-pilot-first ordering.,none
S034,https://developer.apple.com/documentation/speech/recognizing-speech-in-live-audio,apple-docs,Apple platform and Liquid Glass,L1,intentionally-deferred,research/L1-assistants-voice.md,"Not read. L1 s4 surveyed local STT (Parakeet TDT, Canary-Qwen, Moonshine, Whisper large-v3-turbo) but never evaluated Apple's SpeechAnalyzer.",Apple's first-party on-device STT (new in macOS 26) is an unevaluated alternative to the whisper.cpp/Argmax path L1 recommends. Windows-pilot-first ordering.,none
S035,https://developer.apple.com/documentation/speech/speechanalyzer,apple-docs,Apple platform and Liquid Glass,L1,intentionally-deferred,research/L1-assistants-voice.md,"Not read. L1 s4 surveyed local STT (Parakeet TDT, Canary-Qwen, Moonshine, Whisper large-v3-turbo) but never evaluated Apple's SpeechAnalyzer.",Apple's first-party on-device STT (new in macOS 26) is an unevaluated alternative to the whisper.cpp/Argmax path L1 recommends. Windows-pilot-first ordering.,none
S036,https://developer.apple.com/documentation/swiftui/accessibility-fundamentals,apple-docs,Apple platform and Liquid Glass,L4,partially-researched,research/L4-design-research.md,"L4 A9 verified Apple's HIG accessibility guidance (contrast table, Reduce Motion list) but did not read the SwiftUI accessibility API doc.",Design guidance verified; the SwiftUI accessibility API surface itself is unverified. Not needed for a Windows-first Gate 2.,none
S037,https://developer.apple.com/documentation/swiftui/menubarextra,apple-docs,Apple platform and Liquid Glass,L4,partially-researched,research/L4-design-research.md,L4 A7 verified menu-bar-extra HIG constraints (24 pt bar; 'the system may hide some'; don't rely on presence) - the SwiftUI API doc was not read.,"HIG design constraints verified; MenuBarExtra API availability/behaviour unverified. L4 notes HIG /menu-bar-extras 404s, hence the substitution.",none
S038,https://developer.apple.com/documentation/technologyoverviews/adopting-liquid-glass,apple-docs,Apple platform and Liquid Glass,L4,researched,research/L4-design-research.md,"L4 A2 verified all four instructions: use sparingly, avoid crowding, batch via GlassEffectContainer, and custom glass does NOT auto-adapt to a11y settings.",,none
S039,https://developer.apple.com/documentation/technologyoverviews/liquid-glass,apple-docs,Apple platform and Liquid Glass,L4,researched,research/L4-design-research.md,L4 A1 verified Liquid Glass as a layer concept with no API names/versions/a11y/perf guidance on the page - and flagged the name+trade dress as Apple's.,,none
S040,https://developer.apple.com/documentation/usernotifications/declaring-your-actionable-notification-types,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4 A8 covered notification design from the HIG only; the UserNotifications privacy APIs (auth-required actions, hidden previews) are unevaluated.",No lane owned the Apple API-doc family. Notification-preview privacy is a real design decision for an assistant that surfaces meeting content; re-open at the macOS track.,none
S041,https://developer.apple.com/documentation/usernotifications/unnotificationactionoptions/authenticationrequired,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4 A8 covered notification design from the HIG only; the UserNotifications privacy APIs (auth-required actions, hidden previews) are unevaluated.",No lane owned the Apple API-doc family. Notification-preview privacy is a real design decision for an assistant that surfaces meeting content; re-open at the macOS track.,none
S042,https://developer.apple.com/documentation/usernotifications/unnotificationcategory/hiddenpreviewsbodyplaceholder,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4 A8 covered notification design from the HIG only; the UserNotifications privacy APIs (auth-required actions, hidden previews) are unevaluated.",No lane owned the Apple API-doc family. Notification-preview privacy is a real design decision for an assistant that surfaces meeting content; re-open at the macOS track.,none
S043,https://developer.apple.com/documentation/usernotifications/unnotificationsettings/showpreviewssetting,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,"Not read. L4 A8 covered notification design from the HIG only; the UserNotifications privacy APIs (auth-required actions, hidden previews) are unevaluated.",No lane owned the Apple API-doc family. Notification-preview privacy is a real design decision for an assistant that surfaces meeting content; re-open at the macOS track.,none
S044,https://developer.apple.com/documentation/xcode/analyzing-responsiveness-issues-in-your-shipping-app,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not read. L4 F2 set numeric perf floors (LCP 2.5s / INP 200ms / CLS 0.1 at p75) but did not evaluate Apple's Xcode/Metal instrumentation.,"Perf budgets exist; the Apple-side measurement instruments were not researched. Windows pilot ships first, so Xcode instrumentation is not on the critical path.",none
S045,https://developer.apple.com/documentation/xcode/gaining-performance-insights-with-metal-performance-hud,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not read. L4 F2 set numeric perf floors (LCP 2.5s / INP 200ms / CLS 0.1 at p75) but did not evaluate Apple's Xcode/Metal instrumentation.,"Perf budgets exist; the Apple-side measurement instruments were not researched. Windows pilot ships first, so Xcode instrumentation is not on the critical path.",none
S046,https://developer.apple.com/documentation/xcode/improving-app-responsiveness,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not read. L4 F2 set numeric perf floors (LCP 2.5s / INP 200ms / CLS 0.1 at p75) but did not evaluate Apple's Xcode/Metal instrumentation.,"Perf budgets exist; the Apple-side measurement instruments were not researched. Windows pilot ships first, so Xcode instrumentation is not on the critical path.",none
S047,https://developer.apple.com/help/app-store-connect/manage-app-accessibility/reduced-motion-evaluation-criteria,apple-docs,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not read. L4 F3 derived the reduced-motion tier from HIG accessibility + motion pages instead of App Store Connect's evaluation criteria.,"App Store accessibility-label criteria matter only for an App Store submission, which is out of Phase-0 scope (Windows pilot first).",none
S048,https://developer.apple.com/videos/play/wwdc2025/219/,apple-video,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not watched. L4 A1 records that the Liquid Glass hub links five WWDC25 sessions incl. this one; the material principles were taken from the docs instead.,"Video sessions were not consumed; L4 obtained the equivalent normative content from Apple's DocC/HIG JSON. Low marginal value, high time cost.",none
S049,https://developer.apple.com/videos/play/wwdc2025/323/,apple-video,Apple platform and Liquid Glass,L4,intentionally-deferred,research/L4-design-research.md,Not watched. L4 A1 records that the Liquid Glass hub links five WWDC25 sessions incl. this one; the material principles were taken from the docs instead.,"Video sessions were not consumed; L4 obtained the equivalent normative content from Apple's DocC/HIG JSON. Low marginal value, high time cost.",none
S050,https://developer.chrome.com/docs/devtools/performance/reference/,dev-tooling-docs,"Developer workstation, terminal, QA, CI, and infrastructure",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"Not read. L4 F2 fixed the CWV thresholds; the DevTools performance panel is the measurement instrument, which no lane researched.",No lane owned the developer-workstation/QA/CI family. Thresholds exist without a verified measurement method.,none
S051,https://developers.openai.com/api/docs/guides/your-data,vendor-docs,History and data controls,L9,intentionally-deferred,research/L9-platform-revalidation.md,"Not read. L9 covered OpenAI data handling only via learn.chatgpt.com (Codex memories, Computer History, import) - not the API data guide.",OpenAI API data-retention terms are unresearched. Matters only on a branch where the suite calls the OpenAI API; the default path is local + Claude.,none
S052,https://docs.cline.bot/core-workflows/task-management,vendor-docs,"Design, performance, privacy, and legal references",L2,partially-researched,research/L2-coding-agents-mcp.md,"L2 verified cline/cline (66.8k*, Apache-2.0, Node SDK, Roo's designated successor) but did not read the task-management workflow doc.",Project verified; the specific task-management workflow that the prompt cites was not read.,none
S053,https://docs.cluely.com/changelog,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S054,https://docs.cluely.com/enterprise/customizationsuite,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S055,https://docs.cluely.com/enterprise/knowledgebase,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S056,https://docs.cluely.com/feature/liveinsights,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S057,https://docs.cluely.com/feature/postcall,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S058,https://docs.cluely.com/feature/precall,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S059,https://docs.cluely.com/feature/settings,vendor-docs,Meeting copilots and dictation,L3,intentionally-deferred,research/L3-meetings-voiceid.md,Not fetched. L3 read only docs.cluely.com/feature/undetectability from the Cluely docs tree.,"Out of L3's scope: Cluely is a rejected pattern, so only the undetectability claim was evidenced.",none
S060,https://docs.cluely.com/feature/undetectability,vendor-docs,Meeting copilots and dictation,L3,researched,research/L3-meetings-voiceid.md,L3 quoted it verbatim: invisibility 'as long as the software respects the Windows and MacOS default' and 'now an opt-in feature'.,,none
S061,https://docs.devin.ai/desktop/cascade/arena,vendor-docs,"Design, performance, privacy, and legal references",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),No lane covered Devin. L2's coding-agent survey is open-source-only and omits Devin/Cascade entirely.,"L2 scoped itself to open-source agents; Devin is commercial and was never evaluated, so the Cascade Arena comparison surface is unresearched.",none
S062,https://docs.docker.com/compose/trust-model/,vendor-docs,"Developer workstation, terminal, QA, CI, and infrastructure",L2,intentionally-deferred,research/L2-coding-agents-mcp.md,Not read. L2 adopted docker/mcp-gateway for MCP sandboxing citing the spec's 'tool descriptions are untrusted input' model - not Docker's trust doc.,The container-sandbox architecture position was taken without reading the Compose trust model that defines its trust boundary.,Gate1
S063,https://docs.github.com/en/actions/how-tos/write-workflows/choose-what-workflows-do/use-github-cli,dev-tooling-docs,"Developer workstation, terminal, QA, CI, and infrastructure",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"Not read. No lane owned the CI family; L2 covered agents and MCP, not pipeline execution surfaces.",No Phase-0A lane was assigned the developer-workstation/QA/CI seed family.,none
S064,https://docs.github.com/en/copilot/concepts/agents/code-review,vendor-docs,"Design, performance, privacy, and legal references",L2,intentionally-deferred,research/L2-coding-agents-mcp.md,Not read. L2 surveyed 13 open-source coding agents and never covered GitHub Copilot's code-review agent.,L2 scoped to open-source agents; Copilot code review is a first-party commercial surface that no lane evaluated.,none
S065,https://docs.gitlab.com/ci/pipelines/,dev-tooling-docs,"Developer workstation, terminal, QA, CI, and infrastructure",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"Not read. No lane owned the CI family; L2 covered agents and MCP, not pipeline execution surfaces.",No Phase-0A lane was assigned the developer-workstation/QA/CI seed family.,none
S066,https://docs.granola.ai/help-center/consent-security-privacy/getting-consent,vendor-docs,Meeting copilots and dictation,L4,partially-researched,research/L4-design-research.md,L4 D6 names this URL and verified Granola's no-bot/manual-arm/transcript-not-audio posture - but only granola.ai/security appears in L4's fetch manifest.,The consent help-centre page is cited in L4 D6's header but absent from L4's own list of fetched URLs; the consent-specific text is therefore unverified.,none
S067,https://docs.nvidia.com/nemo-framework/user-guide/26.02/nemotoolkit/asr/speaker_recognition/intro.html,model-docs,"Speaker identity, diarization, consent, and anti-spoofing",L3,researched,research/L3-meetings-voiceid.md,Covered indirectly: L3 B.2 verified NVIDIA speaker recognition via HF cards - TitaNet-large is CC-BY-4.0/ungated and nvidia/..._ecapa_tdnn returns HTTP 401.,,none
S068,https://docs.nvidia.com/nemo-framework/user-guide/latest/nemotoolkit/asr/speaker_diarization/intro.html,model-docs,"Speaker identity, diarization, consent, and anti-spoofing",L3,researched,research/L3-meetings-voiceid.md,Covered indirectly: L3 B.2 read docs.nvidia.com/.../speaker_diarization/models.html - Sortformer (E2E) vs clustering+MSDD (MarbleNet+TitaNet).,,none
S069,https://docs.openhands.dev/sdk/guides/security,vendor-docs,Coding agents and context,L2,partially-researched,research/L2-coding-agents-mcp.md,"L2 verified OpenHands itself (85k*, MIT, v1.15.0, pivoted to a self-hosted control plane orchestrating ACP agents) but not the SDK security guide.","The agent-sandboxing/permission model that the security guide documents is unread, while L2 recommends OpenHands as a control-plane spike.",Gate1
S070,https://docs.slack.dev/apis/events-api/,vendor-docs,"Personal assistants, voice, device control, and automation",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"No lane covered Slack APIs, despite 'Slack' appearing 69 times in the prompt body as an integration surface.",No Phase-0A lane was assigned the Slack/notification-surface family; deferred to the integration ADR.,none
S071,https://docs.slack.dev/reference/methods/chat.postMessage/,vendor-docs,"Personal assistants, voice, device control, and automation",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"No lane covered Slack APIs, despite 'Slack' appearing 69 times in the prompt body as an integration surface.",No Phase-0A lane was assigned the Slack/notification-surface family; deferred to the integration ADR.,none
S072,https://euipo.europa.eu/eSearch/,trademark-registry,"Naming, philosophy, and clearance",L7b,inaccessible,research/L7b-brand-collisions.md,EUIPO eSearch uses fragment routing; server returned only the landing page for every term. Zero results retrievable.,EUIPO eSearch is client-side/fragment-routed and returned no data to a server fetch. Blocks the brand sub-gate.,none
S073,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:02016R0679-20160504,legal-regulatory,"Speaker identity, diarization, consent, and anti-spoofing",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"Not read. No Phase-0A lane owned the legal/regulatory family; L3 evidenced consent only commercially (Granola Enterprise notification, Vexa's visible bot).","GDPR text unread. The meeting-capture and voice-ID legal basis is asserted from product comparables, not from law. Blocks the consent architecture.",Gate1
S074,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=CELEX:32016R0679,legal-regulatory,"Design, performance, privacy, and legal references",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),"Not read. No Phase-0A lane owned the legal/regulatory family; L3 evidenced consent only commercially (Granola Enterprise notification, Vexa's visible bot).","GDPR text unread. The meeting-capture and voice-ID legal basis is asserted from product comparables, not from law. Blocks the consent architecture.",Gate1
S075,https://fireflies.ai/features,vendor-product-page,Meeting copilots and dictation,L3,researched,research/L3-meetings-voiceid.md,Covered indirectly: L3 s3.4 read fireflies.ai/pricing and captured the feature matrix incl. 'Record using Chrome extension without Fireflies bot'.,,none
S076,https://git-scm.com/docs/git-worktree.html,dev-tooling-docs,"Developer workstation, terminal, QA, CI, and infrastructure",(unassigned),intentionally-deferred,(none — no lane produced evidence for this URL),Not read. L6 flagged worktree-per-agent as a UX benchmark (NanmiCoder/cc-haha) but no lane researched git worktree semantics.,"No lane owned the developer-workstation family; git worktree is stable, well-documented standard tooling, so the research risk is low.",none
S077,https://github.com/Aider-AI/aider,github-repo,Coding agents and context,L2,researched,research/L2-coding-agents-mcp.md,L2 CORRECTED the health signal: 48.5k stars but latest release v0.86.0 dated 2025-08-09 (~12 months) and main last touched 2026-05-22. Rec: learn-only.,,none
S078,https://github.com/Devleed/meeting-copilot,github-repo,Meeting copilots and dictation,L3,researched,research/L3-meetings-voiceid.md,"L3 verified NO LICENSE at main or master (404 on all 8 candidate paths) -> all rights reserved. 2 stars, no releases. Rec: reject.",,none
S079,https://github.com/JonathanRReed/Apple-MCPs,github-repo,"Personal assistants, voice, device control, and automation",L1,researched,research/L1-assistants-voice.md,"L1 verified MIT, pushed 2026-08-21, 11 stars. Rec: spike - right MCP-to-Apple-apps idea, tiny adoption; compare against in-house AppleScript/JXA servers.",,none
S080,https://github.com/Matanvil/jarvis,github-repo,"Personal assistants, voice, device control, and automation",L1,researched,research/L1-assistants-voice.md,"L1 verified MIT, pushed 2026-07-06, 1 star, 'Local-first AI voice assistant for macOS'. Rec: reject - early scaffold, no adoption.",,none
S081,https://github.com/NeoAIResearch/neo-mcp,github-repo,Meeting copilots and dictation,L3,researched,research/L3-meetings-voiceid.md; research/L9-platform-revalidation.md,"Both lanes verified this is an unrelated name collision: MIT, 2 stars, heyneo.com, an ML-engineering agent. Nothing to do with the NeoSapien wearable.",,none
S082,https://github.com/OHF-Voice/wyoming,github-repo,"Personal assistants, voice, device control, and automation",L1,researched,research/L1-assistants-voice.md,"L1 verified MIT, pushed 2026-07-23, 391 stars. Rec: adopt/compose - the strongest maintained local-voice backbone and a sane integration seam.",,none
S083,https://github.com/OpenAdaptAI/OpenAdapt,github-repo,"Personal assistants, voice, device control, and automation",L1,researched,research/L1-assistants-voice.md,"L1 verified MIT, 1.7k stars, 1,142 commits, low PR volume. Rec: learn-only - interesting determinism angle, weak traction.",,none
